method,mutations,KILLED,SURVIVED,TIMED_OUT,NO_COVERAGE,NON_VIABLE,MEMORY_ERROR,RUN_ERROR
Mono::switchIfEmpty,1,1,0,0,0,0,0,0

TOTAL,1,1,0,0,0,0,0,0
