method,mutations,KILLED,SURVIVED,TIMED_OUT,NO_COVERAGE,NON_VIABLE,MEMORY_ERROR,RUN_ERROR
Mono::doOnNext,2,1,1,0,0,0,0,0
Mono::filter,1,1,0,0,0,0,0,0
Mono::switchIfEmpty,2,2,0,0,0,0,0,0

TOTAL,5,4,1,0,0,0,0,0
