method,mutations,KILLED,SURVIVED,TIMED_OUT,NO_COVERAGE,NON_VIABLE,MEMORY_ERROR,RUN_ERROR
Flux::doFinally,1,1,0,0,0,0,0,0
Flux::doOnEach,1,0,1,0,0,0,0,0
Flux::doOnNext,1,0,1,0,0,0,0,0
Flux::doOnSubscribe,1,0,1,0,0,0,0,0

TOTAL,4,1,3,0,0,0,0,0
