method,mutations,KILLED,SURVIVED,TIMED_OUT,NO_COVERAGE,NON_VIABLE,MEMORY_ERROR,RUN_ERROR
Mono::contextWrite,2,0,2,0,0,0,0,0
Mono::doOnNext,4,4,0,0,0,0,0,0
Mono::subscribeOn,2,0,2,0,0,0,0,0

TOTAL,8,4,4,0,0,0,0,0
