report,mutations,killed,% killed
/joiner-core/target/pit-reports/index.html,511,398,77.89
/joiner-eclipse/target/pit-reports/index.html,48,20,41.67
/joiner-kotlin/target/pit-reports/index.html,45,10,22.22
/joiner-spring/target/pit-reports/index.html,27,16,59.26
/joiner-kotlin-reactive/target/pit-reports/index.html,11,11,100.0
/joiner-reactive/target/pit-reports/index.html,195,176,90.26

TOTAL,837,631,75.39
