method,mutations,KILLED,SURVIVED,TIMED_OUT,NO_COVERAGE,NON_VIABLE,MEMORY_ERROR,RUN_ERROR
Flux::cancelOn,4,0,3,0,1,0,0,0
Flux::filter,1,1,0,0,0,0,0,0
Flux::subscribeOn,4,0,3,0,1,0,0,0
Mono::switchIfEmpty,1,0,1,0,0,0,0,0

TOTAL,10,1,7,0,2,0,0,0
