method,mutations,KILLED,SURVIVED,TIMED_OUT,NO_COVERAGE,NON_VIABLE,MEMORY_ERROR,RUN_ERROR
Flux::doOnNext,1,1,0,0,0,0,0,0
Flux::filter,2,0,2,0,0,0,0,0
Mono::doOnNext,2,2,0,0,0,0,0,0
Mono::filter,1,1,0,0,0,0,0,0
Mono::switchIfEmpty,1,1,0,0,0,0,0,0

TOTAL,7,5,2,0,0,0,0,0
