method,mutations,KILLED,SURVIVED,TIMED_OUT,NO_COVERAGE,NON_VIABLE,MEMORY_ERROR,RUN_ERROR
Flux::concatWith,1,1,0,0,0,0,0,0
Flux::doFinally,3,0,3,0,0,0,0,0
Flux::filter,1,1,0,0,0,0,0,0
Mono::filter,1,1,0,0,0,0,0,0

TOTAL,6,3,3,0,0,0,0,0
