method,mutations,KILLED,SURVIVED,TIMED_OUT,NO_COVERAGE,NON_VIABLE,MEMORY_ERROR,RUN_ERROR
Flux::doFinally,1,1,0,0,0,0,0,0
Flux::doOnCancel,3,2,1,0,0,0,0,0
Flux::filter,1,0,1,0,0,0,0,0
Flux::log,1,1,0,0,0,0,0,0
Mono::checkpoint,1,1,0,0,0,0,0,0
Mono::doFinally,1,1,0,0,0,0,0,0
Mono::doOnNext,2,2,0,0,0,0,0,0
Mono::doOnSuccess,2,2,0,0,0,0,0,0
Mono::doOnTerminate,2,1,1,0,0,0,0,0
Mono::log,1,0,1,0,0,0,0,0

TOTAL,15,11,4,0,0,0,0,0
