report,mutations,killed,% killed
/rxmicro-json/target/pit-reports/index.html,558,385,69.0
/rxmicro-common/target/pit-reports/index.html,429,97,22.61
/rxmicro-resource/target/pit-reports/index.html,54,10,18.52

TOTAL,1041,492,47.26
