method,mutations,KILLED,SURVIVED,TIMED_OUT,NO_COVERAGE,NON_VIABLE,MEMORY_ERROR,RUN_ERROR
Flux::concatWith,1,0,0,0,1,0,0,0
Flux::filter,2,0,0,0,2,0,0,0
Flux::onBackpressureDrop,1,0,1,0,0,0,0,0
Flux::publishOn,1,0,1,0,0,0,0,0
Mono::defaultIfEmpty,1,0,0,0,1,0,0,0
Mono::doFinally,3,0,1,0,2,0,0,0
Mono::doOnNext,8,3,1,0,4,0,0,0
Mono::filter,4,0,0,0,4,0,0,0
Mono::switchIfEmpty,4,0,0,0,4,0,0,0

TOTAL,25,3,4,0,18,0,0,0
