method,mutations,KILLED,SURVIVED,TIMED_OUT,NO_COVERAGE,NON_VIABLE,MEMORY_ERROR,RUN_ERROR
Mono::defaultIfEmpty,1,1,0,0,0,0,0,0
Mono::doOnNext,2,0,0,0,2,0,0,0

TOTAL,3,1,0,0,2,0,0,0
